qid,question,optionA,optionB,optionC,optionD,correct,timeLimit,category,image
1,Ready to rock?,Yes,No,Maybe,Sure,A,20,Demo,
2,What color is the sky?,Blue,Green,Red,Purple,A,15,General,
3,2 + 2 = ?,1,2,3,4,D,10,Math,
4,Pick the metal,Iron,Water,Wood,Plastic,A,12,Science,
5,Which planet is known as the Red Planet?,Mercury,Venus,Earth,Mars,D,18,Space,
6,Fastest land animal?,Cheetah,Lion,Tiger,Leopard,A,12,Nature,
7,HTML stands for?,Hyper Text Markup Language,Home Tool Markup Language,Hyperlinks Text Markup Language,,A,14,Web,
8,"Which one is a prime number, choose wisely",21,27,29,39,C,16,Math,
9,Capital of Japan?,Tokyo,Osaka,Kyoto,Nagoya,A,14,Geo,
10,Boiling point of water at sea level in °C?,80,90,95,100,D,12,Science,
11,Which gas do plants breathe in?,Oxygen,Nitrogen,Carbon Dioxide,Helium,C,12,Science,
12,How many continents are there?,5,6,7,8,C,12,Geo,
13,Who painted the Mona Lisa?,Van Gogh,Da Vinci,Picasso,Monet,B,14,Art,
14,CSS property to change text color?,font-weight,background-color,color,text-shadow,C,12,Web,
15,"Complete the phrase, May the ____ be with you",horse,course,force,source,C,12,Movies,
16,Which one is not a programming language?,Python,Ruby,Swift,Quartz,D,12,Tech,
